Update: 20240831,,,,,,,,,,,,
H: Hepdata tables,,D: data point extraction of preliminary plots,,,X: will not include,M: data table missing for published results,,,,,,
,Web,Collaboration,Probe,Collision system,Observable,Dataset / Version,e-print,Reference,,,,
,,Initial production & Total cross-section,,,,,,,,,,
Published,H,ATLAS,b→J/ψ,pPb,RpA,5.02 TeV (2013),1709.03089,EPJC 78 (2018) 171,,,npdf,beauty
Published,H,LHCb,b→J/ψ,pPb,RpA,8.16 TeV,1706.07122,PLB 774 (2017) 159,,,npdf,beauty
Published,H,ALICE,b→J/ψ,pPb,RpA,8.16 TeV,2211.14153,JHEP 07 (2023) 137,mid-rapidity,,npdf,beauty
Published,H,LHCb,b→ψ(2S),pPb,RpA,5.02 TeV (2013),1601.07878,JHEP 03 (2016) 133,,,npdf,beauty
Published,P,LHCb,b→ψ(2S),pPb,,8.16 TeV,2401.11342,JHEP 04 (2024) 111,single ratio yet implemented,,npdf,beauty
Published,H,ALICE,b→e,pPb,RpA,5.02 TeV (2013),1609.03898,JHEP 07 (2017) 052,,,npdf,beauty
Published,,CMS,b-jet,pPb,RpA,5.02 TeV (2013),1510.03373,PLB 754 (2016) 59,,,small,beauty
Published,,ALICE,b-jet,pPb,RpA,5.02 TeV (2016),2110.06104,JHEP 01 (2022) 178,,,small,beauty
Published,X,ALICE,,pPb,RpA,8.16 TeV (2016),2303.13349,JHEP 08 (2023) 006,,,npdf,inclusive
Published,X,ALICE,,pPb,,5.02 TeV (2013),1910.14399,JHEP 02 (2020) 077,,,npdf,inclusive
Published,X,PHENIX,,dAu,RpA,200 GeV,1208.1293,PRL 109 (2012) 242301,,,npdf,inclusive
Published,X,PHENIX,,dAu,RpA,200 GeV,1310.1005,PRL 112 (2014) 252301 ,,,npdf,inclusive
Published,H,CMS,Prompt J/ψ,pPb,RpA,5.02 TeV (2013),1702.01462,EPJC 77 (2017) 269,,,qqbar,charm
